gene	TESTSRR1925826	TESTSRR1925827	TESTSRR1925828	TESTSRR1925829	TESTSRR1925830	TESTSRR1925831	TESTSRR1925832	TESTSRR1925833	TESTSRR1925834	TESTSRR1925835	TESTSRR1925836	TESTSRR1925837	TESTSRR1925838	TESTSRR1925839	TESTSRR1925840	TESTSRR1925841	TESTSRR1925842	TESTSRR1925843	TESTSRR1925844	TESTSRR1925845
COPS8	46.3069	49.132	48.984	45.2568	52.0935	58.7771	53.7617	48.1893	35.5103	38.3301	34.8335	32.6749	41.961	35.9298	37.7769	33.8016	35.5462	34.4756	33.517	35.3704
COPZ1	195.607	179.183	166.901	162.52	166.067	157.231	148.258	141.618	136.447	133.48	127.868	125.831	182.552	165.722	168.543	165.84	181.231	151.308	174.945	176.205
COPZ2	6.21015	6.97533	8.62178	9.30129	6.21307	2.46471	4.01248	2.22768	2.8099	4.41123	4.22713	2.76322	8.65183	9.49769	13.768	9.19642	29.8747	11.6975	22.4565	20.9697
COQ10A	7.91776	11.3729	10.5568	9.49668	9.91939	9.99761	9.63839	9.11404	7.32371	8.22652	5.15496	4.06499	10.3311	10.2921	8.02959	8.27166	10.9402	13.2118	14.0815	15.4433
COQ10B	69.43226	64.178906	73.24018	82.63619	72.58184	81.59364	84.20706	67.4991	152.01511	147.24103	82.76632	84.66387	92.13093	85.048966	101.598275	116.48434	67.64211	124.91076	75.78114	93.38634
COQ2	56.3303	64.7392	69.2809	58.0126	52.8936	70.6691	73.2646	64.55	32.2782	40.2959	28.4538	26.3612	46.2339	44.7266	45.8621	42.8632	54.7478	45.3368	53.2407	61.155
COQ3	14.5409	12.006	12.6206	12.9524	10.4711	10.4926	9.99228	10.4134	5.38666	5.74222	5.62141	4.90739	7.76416	7.54898	7.48692	7.33274	8.56422	6.25154	9.56284	7.85439
COQ4	8.96382	9.557242	10.633981	8.06908	6.909085	9.96764	9.591552	8.099397	4.6048662	6.398172	4.363321	4.901363	6.83885	7.337912	7.271598	5.21279	7.658704	7.207848	7.222563	6.842511
COQ5	27.5962	23.6354	26.5901	27.5451	22.6196	27.2463	28.1491	28.947	17.5629	17.518	15.1069	15.1746	21.7589	21.9409	23.3915	20.4152	30.7604	42.6323	31.8131	35.0332
COQ6	18.68774	21.35236	22.64602	22.46784	19.902927	23.133016	23.9352	20.82189	10.793871	13.44368	11.39979	9.632399	14.6338	15.218681	14.560993	12.51619	18.11933	19.70916	23.70515	28.79106
COQ7	46.7222	50.2177	51.6177	53.8779	47.2739	55.5261	47.454897	57.101522	30.0305	27.0266	27.0806	20.3358	33.9525	36.5767	28.846869	33.4848	40.3031	57.9322	40.793	44.8914
COQ9	52.7604	72.4331	72.4532	73.5918	57.7584	60.5253	64.6945	59.4686	53.5187	46.7804	38.3746	35.6213	58.7967	69.4602	60.1378	55.6272	69.7931	83.5278	86.6136	92.3727
CORIN	0.0185504	0	0	0.021385	0	0.0126656	0	0	0.0120958	0	0	0.0128109	0.0291826	0.0278167	0	0.0144415	0.038891	0.0238858	0.0357676	0.0522699
CORO1A	52.78322	41.718321	20.48279	19.430882	20.504597	12.813204	11.997419	13.683025	31.3156	33.65271	102.65648	124.39963	63.89067	55.85467	48.01382	40.5066	17.011731	14.892042	141.60809	18.197115
CORO1B	258.169	225.574	215.047	225.836	210.348	181.365	190.215	205.617	318.275	311.689	318.172	335.993	327.251	323.707	318.45	314.705	265.055	330.677	308.163	280.365
CORO1C	127.005	128.648	123.211	136.79	147.68	132.426	123.226	154.162	193.143	184.792	186.771	182.106	158.148	166.758	150.919	147.282	96.7324	108.226	104.374	123.342
CORO2A	119.15036	116.81874	90.543167	147.76702	140.92507	96.79383	92.40805	207.068205	386.51808	384.91491	321.09689	329.47948	259.67692	252.88019	276.58145	257.09714	96.855351	158.019486	114.397489	150.71592
CORO2B	0.721034	1.56601	1.42781	1.50493	2.06031	0.56636	0.697825	0.461195	0.465088	0.491087	0.64387	0.403138	0.75104	0.903906	1.39832	0.72998	1.92429	1.22057	2.18217	2.14348
CORO6	0.2758236117	0.641606	0.394702	0.175803	0.54348900688973	0.1937464	0.233209	0.1957729	0.269828	0.576149	0.583479	0.8387	0.4821070668004	0.774606	0.680474	0.281426	0.7061704	0.68178	0.858535	1.352836
CORO7-PAM16	10.1442	14.0257	12.255	12.1079	13.5357	9.47712	10.9656	15.9961	10.6282	12.327	12.2152	12.0401	15.8898	15.8457	14.986	11.4651	9.46941	10.2296	21.2736	18.8553
CORT	0.220588	0.179141	0.313777	0.0847837	0	0	0	0.142869	0	0	0.139592	0	0	0	0	0	0	0	0.0924468	0
COTL1	65.3752	62.4837	61.1044	56.4041	42.9725	40.575	46.177	33.9408	46.7699	49.4857	89.7021	93.5563	83.7613	87.0932	81.9305	74.254	57.945	85.1343	132.475	122.492
COX10	11.6656	12.2835	14.2578	14.2627	12.9653	13.1472	12.5525	12.6955	5.86019	6.30025	6.87339	6.98677	8.49742	8.97157	7.99413	9.31049	18.768	20.4917	22.1988	20.8705
COX11	15.1145	16.4889	15.678	16.8153	15.1232	12.7839	15.407	15.374	13.8495	15.1938	10.1873	10.3688	16.6202	14.1231	16.4441	17.5889	17.5682	20.9381	20.3123	20.783
COX14	169.474	153.242	144.681	147.085	124.587	144.035	138.419	161.66	151.019	149.605	121.612	130.42	155.745	146.8	160.518	158.403	173.73	196.677	184.12	168.976
COX15	16.4524	19.6636	19.6934	20.4339	17.93	17.2003	16.6379	18.1547	12.7006	13.6419	11.8181	10.7034	14.3679	16.1189	15.9641	14.4304	15.6028	17.6223	19.9028	22.4536
COX16	30.149971	35.158111	35.429123	33.760233	34.11438	38.272386	35.964297	37.215692	24.7124	30.6453	16.961423	20.80615	36.37756	36.458166	37.13575	30.899678	53.34515	48.573005	49.973533	45.548561
COX17	369.35421	305.74633	281.00572	268.97997	267.61758	281.77219	290.1874	282.37523	260.13817	248.24777	203.65521	227.78368	276.93547	271.46785	258.98983	281.66056	290.31582	457.34165	297.44357	269.52207
COX18	12.82955	14.38472	13.41293	13.69566	14.34859	14.91687	12.93037	13.332536153	6.44174	7.62869	8.20793	7.34111160804	9.75304	8.34232676	9.98395	8.324117	10.18841	7.57204	8.882098	9.53047
COX19	58.3705	57.7574	65.6105	65.2877	62.8308	65.247	64.5305	59.3048	46.2269	51.1721	36.8189	37.4876	47.8497	53.1262	54.2705	55.1802	55.9664	59.5073	57.8958	65.5181
COX20	116.751	130.094	138.023	134.173	96.7947	114.044	102.64	168.426	75.7643	70.4276	54.0733	51.4048	98.2149	98.504	112.187	112.425	159.418	172.408	169.103	187.081
COX4I1	1021.699	902.0798	954.411	962.661	934.706	890.0721	870.76	933.215	721.4336	657.8516	718.6507	668.9017	831.691	917.409	786.7982	914.747	1150.395	1393.696	1201.786	1232.651
